City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kaduqli,SD,11.0167,29.7167,71.33,17,6,14.41,clear sky
80,Maniitsoq,GL,65.4167,-52.9,1.13,88,100,5.99,light snow
81,Port Alfred,ZA,-33.5906,26.891,68.83,90,58,15.21,light rain
82,Tiksi,RU,71.6872,128.8694,-12.42,91,19,10.47,few clouds
83,Durusu,TR,41.3053,28.6767,43.84,84,100,10.0,overcast clouds
84,Saint-Leu,RE,-21.15,55.2833,79.63,78,4,1.3,clear sky
85,Beyneu,KZ,45.3167,55.2,27.09,83,6,14.63,clear sky
86,Vila Velha,BR,-20.3297,-40.2925,75.15,97,40,3.44,scattered clouds
87,Olafsvik,IS,64.8945,-23.7142,32.45,72,100,12.53,light snow
88,Upernavik,GL,72.7868,-56.1549,-3.35,96,100,4.47,overcast clouds
89,Puerto Escondido,MX,15.85,-97.0667,79.63,73,40,0.0,scattered clouds
90,Saskylakh,RU,71.9167,114.0833,-17.45,93,20,3.02,few clouds
91,Glenwood Springs,US,39.5505,-107.3248,36.63,55,0,10.36,clear sky
92,Luau,AO,-10.7073,22.2247,63.75,98,100,3.13,light rain
93,Boa Vista,BR,2.8197,-60.6733,82.38,65,0,13.8,clear sky
94,Nemuro,JP,43.3236,145.575,28.83,87,100,14.25,overcast clouds
95,Griffin,US,33.2468,-84.2641,41.27,39,0,4.61,clear sky
96,Stromness,GB,58.965,-3.296,41.25,85,100,16.2,overcast clouds
97,Qandala,SO,11.472,49.8728,72.28,68,74,3.38,broken clouds
98,Nikolskoye,RU,59.7035,30.7861,36.88,91,100,11.54,overcast clouds
99,Nanortalik,GL,60.1432,-45.2371,20.71,94,100,27.2,snow
100,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,40,6.91,moderate rain
101,Constitucion,CL,-35.3333,-72.4167,58.86,90,64,2.93,broken clouds
102,Aurillac,FR,44.9167,2.45,44.85,92,100,11.5,overcast clouds
103,Ulaanbaatar,MN,47.9077,106.8832,-11.07,77,75,0.0,broken clouds
104,Ergani,TR,38.2653,39.7621,30.92,64,100,4.25,overcast clouds
105,Penzance,GB,50.1186,-5.5371,47.77,75,27,17.45,scattered clouds
106,Quatre Cocos,MU,-20.2078,57.7625,80.71,89,100,14.29,moderate rain
107,Jiehu,CN,35.5428,118.455,37.47,59,62,11.72,broken clouds
108,Dikson,RU,73.5069,80.5464,-5.42,88,100,23.17,overcast clouds
109,Yarmouth,US,41.7057,-70.2286,33.96,93,100,9.22,snow
110,Zyryanka,RU,65.75,150.85,-20.51,89,12,6.46,few clouds
111,Grand Gaube,MU,-20.0064,57.6608,81.0,80,100,3.0,overcast clouds
112,Suntar,RU,62.1444,117.6319,-10.08,97,100,1.28,overcast clouds
113,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,70,100,4.09,overcast clouds
114,Airai,TL,-8.9266,125.4092,72.54,59,23,2.44,few clouds
115,Tiznit,MA,29.5833,-9.5,52.41,50,0,3.51,clear sky
116,Coquimbo,CL,-29.9533,-71.3436,64.13,77,0,5.75,clear sky
117,Estelle,US,29.8458,-90.1067,51.8,58,0,4.61,clear sky
118,Nyurba,RU,63.2842,118.3319,-13.76,99,100,0.89,overcast clouds
119,Cayenne,GF,4.9333,-52.3333,80.1,86,75,4.0,broken clouds
120,Anton Lizardo,MX,19.05,-95.9833,65.21,62,97,28.39,overcast clouds
121,Komsomolskiy,UZ,40.4272,71.7189,38.12,81,100,0.0,mist
122,Adamantina,BR,-21.6853,-51.0725,76.75,74,11,3.24,few clouds
